timestamp,average_price,min_price,max_price,volatility
1735613516.4684403,92394.14,92394.14,92394.14,0.0
1735613526.732477,92385.57,92377.0,92394.14,17.139999999999418
1735613536.9825184,92390.47333333334,92377.0,92400.28,23.279999999998836
1735613547.099934,92387.73500000002,92377.0,92400.28,23.279999999998836
1735613557.2133548,92387.89800000002,92377.0,92400.28,23.279999999998836
1735613567.3298707,92391.26833333336,92377.0,92408.12,31.119999999995343
1735613577.5214708,92392.45428571431,92377.0,92408.12,31.119999999995343
1735613587.8732433,92394.70500000002,92377.0,92410.46,33.4600000000064
1735613597.995729,92396.22444444447,92377.0,92410.46,33.4600000000064
1735613608.1118271,92397.672,92377.0,92410.7,33.69999999999709
1735613618.2207458,92398.36454545456,92377.0,92410.7,33.69999999999709
1735613628.332298,92398.94416666667,92377.0,92410.7,33.69999999999709
1735613638.4636204,92398.70923076922,92377.0,92410.7,33.69999999999709
1735613648.799584,92397.9207142857,92377.0,92410.7,33.69999999999709
1735613659.0345323,92395.91533333334,92367.84,92410.7,42.86000000000058
1735613669.152702,92393.056875,92350.18,92410.7,60.520000000004075
1735613679.2696111,92389.79588235293,92337.62,92410.7,73.08000000000175
1735613689.391447,92386.18388888887,92324.78,92410.7,85.91999999999825
1735613699.507873,92384.34684210525,92324.78,92410.7,85.91999999999825
1735613709.6294847,92383.41399999999,92324.78,92410.7,85.91999999999825
1735613719.8674235,92383.35666666666,92324.78,92410.7,85.91999999999825
1735613729.9806576,92381.07227272727,92324.78,92410.7,85.91999999999825
1735613740.199839,92378.6747826087,92324.78,92410.7,85.91999999999825
1735613750.3968623,92376.66416666667,92324.78,92410.7,85.91999999999825
1735613760.6295376,92374.63799999999,92324.78,92410.7,85.91999999999825
1735613770.7358236,92372.76769230768,92324.78,92410.7,85.91999999999825
1735613780.866321,92370.68370370369,92316.5,92410.7,94.19999999999709
1735613791.1400993,92369.34928571426,92316.5,92410.7,94.19999999999709
1735613801.3891914,92368.08586206894,92316.5,92410.7,94.19999999999709
1735613811.5066943,92366.90699999998,92316.5,92410.7,94.19999999999709
1735613821.6531682,92365.80419354838,92316.5,92410.7,94.19999999999709
1735613831.7709553,92364.68125,92316.5,92410.7,94.19999999999709
1735613841.9283254,92364.05454545454,92316.5,92410.7,94.19999999999709
1735613852.1792028,92363.62411764705,92316.5,92410.7,94.19999999999709
1735613862.2983818,92363.21828571428,92316.5,92410.7,94.19999999999709
1735613872.4206793,92362.83499999999,92316.5,92410.7,94.19999999999709
1735613882.691402,92362.47216216216,92316.5,92410.7,94.19999999999709
1735613892.8876708,92362.61763157893,92316.5,92410.7,94.19999999999709
1735613903.002258,92361.87256410255,92316.5,92410.7,94.19999999999709
1735613913.155951,92361.16475,92316.5,92410.7,94.19999999999709
1735613923.272914,92360.3324390244,92316.5,92410.7,94.19999999999709
1735613933.383339,92359.16452380952,92311.28,92410.7,99.41999999999825
1735613943.5123692,92358.40860465117,92311.28,92410.7,99.41999999999825
1735613953.6320815,92358.39295454546,92311.28,92410.7,99.41999999999825
1735613963.7488515,92357.59111111112,92311.28,92410.7,99.41999999999825
1735613973.862832,92356.67326086956,92311.28,92410.7,99.41999999999825
