timestamp,average_price,min_price,max_price,volatility,rsi,atr
1735679912.8770163,93363.91,93363.91,93363.91,0.0,0.0,0
1735679922.9875846,93364.995,93363.91,93366.08,2.1699999999982538,0.0,2.1699999999982538
1735679933.372878,93367.42,93363.91,93372.27,8.360000000000582,0.0,7.275000000001455
1735679943.4793267,93370.29250000001,93363.91,93378.91,15.0,0.0,12.063333333334109
1735679953.6008132,93372.80000000002,93363.91,93382.83,18.919999999998254,0.0,15.307499999998981
1735679963.8894122,93377.25666666667,93363.91,93399.54,35.629999999990105,0.0,27.181999999991966
1735679974.0011036,93387.56571428572,93363.91,93449.42,85.50999999999476,0.0,72.16333333333023
1735679984.1085644,93393.36375,93363.91,93449.42,85.50999999999476,47.950428979977524,71.85999999999642
1735679994.2304754,93397.99777777778,93363.91,93449.42,85.50999999999476,44.443874410013834,71.77249999999731
1735680004.5373673,93402.161,93363.91,93449.42,85.50999999999476,42.423819492904116,72.21111111110885
1735680014.6464195,93403.53818181818,93363.91,93449.42,85.50999999999476,37.6273983907527,70.32999999999738
1735680024.77344,93404.62833333334,93363.91,93449.42,85.50999999999476,47.0528542680663,68.7281818181787
1735680034.8745303,93404.86615384616,93363.91,93449.42,85.50999999999476,49.040064533474926,66.65166666666362
1735680045.0128174,93406.02214285715,93363.91,93449.42,85.50999999999476,49.5062166962685,65.91999999999713
1735680055.132271,93409.19533333335,93363.91,93453.62,89.70999999999185,53.64717852390708,69.2685714285669
1735680065.2387357,93411.45000000001,93363.91,93453.62,89.70999999999185,55.15590424461997,70.07466666666248
1735680075.4007766,93413.09764705884,93363.91,93453.62,89.70999999999185,57.20266492343406,70.41687499999625
1735680085.6403682,93413.52,93363.91,93453.62,89.70999999999185,54.44307653903389,69.61529411764316
1735680095.8851333,93413.6605263158,93363.91,93453.62,89.70999999999185,56.391851173887616,68.65222222221847
1735680105.9908462,93414.6375,93363.91,93453.62,89.70999999999185,56.92359549524103,68.68578947368032
1735680116.163554,93416.05142857143,93363.91,93453.62,89.70999999999185,56.49951272888926,69.27249999999621
1735680126.2999253,93417.70090909091,93363.91,93453.62,89.70999999999185,55.69410677329196,70.18476190475796
1735680136.4258244,93419.87739130436,93363.91,93467.76,103.84999999999127,55.96932456185816,75.57136363635932
1735680146.5281956,93421.53875,93363.91,93467.76,103.84999999999127,56.646716175911855,76.4526086956479
1735680156.6578305,93424.6772,93363.91,93500.0,136.0899999999965,61.32120118940332,92.65624999999818
1735680166.7550764,93428.46192307693,93363.91,93523.08,159.16999999999825,63.57336876540095,108.36519999999902
1735680176.8803952,93432.62814814817,93363.91,93540.95,177.0399999999936,65.14476077055606,123.41576923076522
1735680186.994518,93436.34285714288,93363.91,93540.95,177.0399999999936,66.49385721537064,125.24222222221822
1735680197.101839,93439.42172413795,93363.91,93540.95,177.0399999999936,66.22449480414795,126.54499999999618
1735680207.2179775,93442.16900000001,93363.91,93540.95,177.0399999999936,67.39002859319031,127.62724137930641
1735680217.5441525,93444.4477419355,93363.91,93540.95,177.0399999999936,67.44398860355078,128.33633333332935
1735680227.7727885,93446.43312500001,93363.91,93540.95,177.0399999999936,68.20674838872739,128.84387096773781
1735680237.893821,93448.37818181819,93363.91,93540.95,177.0399999999936,68.41748474729462,129.40218749999576
1735680248.2609477,93450.33088235295,93363.91,93540.95,177.0399999999936,68.74316668323293,130.05242424242016
1735680258.3753748,93452.72600000002,93363.91,93540.95,177.0399999999936,70.17993030367745,131.23470588234898
1735680268.4857383,93455.32194444447,93363.91,93546.18,182.26999999998952,71.00610810187845,135.76285714285083
1735680278.6118681,93457.65702702706,93363.91,93546.18,182.26999999998952,70.28358924049309,136.93083333332712
1735680288.732704,93460.26421052634,93363.91,93556.73,192.81999999999243,71.26753728050913,144.4599999999954
1735680298.851011,93462.75974358976,93363.91,93557.59,193.67999999999302,71.32194284204593,146.2531578947325
1735680309.089202,93465.35525000002,93363.91,93566.58,202.66999999999825,71.87857590085841,152.77102564102432
1735680319.2167127,93467.42024390247,93363.91,93566.58,202.66999999999825,69.39736935359613,153.60449999999872
1735680329.3330455,93468.93928571431,93363.91,93566.58,202.66999999999825,66.78033418249733,153.9387804878036
1735680339.595604,93470.89488372095,93363.91,93566.58,202.66999999999825,68.17273321289994,154.7764285714272
1735680349.7091978,93472.74000000002,93363.91,93566.58,202.66999999999825,68.04849507951535,155.55302325581258
1735680359.821902,93474.48200000003,93363.91,93566.58,202.66999999999825,67.92470894607986,156.27272727272594
1735680370.0199509,93476.33304347828,93363.91,93566.58,202.66999999999825,68.43840675283711,157.14933333333207
1735680380.3539033,93477.67893617024,93363.91,93566.58,202.66999999999825,65.94829151385332,157.55217391304208
1735680390.468703,93478.8304166667,93363.91,93566.58,202.66999999999825,65.16271393204433,157.79659574467937
1735680400.6340716,93479.76938775512,93363.91,93566.58,202.66999999999825,64.22824607005832,157.86187499999838
1735680410.8764372,93480.60460000002,93363.91,93566.58,202.66999999999825,63.85451093453381,157.85693877550852
1735680421.018173,93481.19313725493,93363.91,93566.58,202.66999999999825,62.652867615351376,157.6339999999982
1735680431.1259975,93481.35596153849,93363.91,93566.58,202.66999999999825,60.46678097584589,157.00882352941
1735680441.2361233,93481.13264150945,93363.91,93566.58,202.66999999999825,58.50527502617435,156.02038461538288
1735680451.3522253,93480.01481481483,93363.91,93566.58,202.66999999999825,54.245818399044495,155.82773584905487
1735680461.5682914,93478.5952727273,93363.91,93566.58,202.66999999999825,52.762081838385946,155.99092592592422
